Variable,Coefficient,Std Error,t-statistic,P-value,95% CI Lower,95% CI Upper
Intercept,0.0551,0.002,23.542,0.0,0.051,0.06
AFFECTED_RATIO,-0.0016,0.006,-0.266,0.79,-0.013,0.01
